,SeqId,Count
0,20103-176,75
1,5636-10,76
2,24457-12,72
3,13447-42,70
4,18166-4,51
5,15635-4,28
6,7849-3,41
7,5087-5,46
8,21688-50,38
9,11203-97,10
10,9456-34,49
11,5476-66,80
12,5722-78,41
13,15607-56,5
14,23661-61,31
15,23588-9,40
16,13939-14,4
17,13993-20,19
18,4234-8,38
19,13658-31,8
20,19141-22,23
21,20087-3,74
22,11177-16,58
23,23547-21,2
24,21501-30,74
25,20111-5,3
26,3805-16,34
27,8469-41,25
28,11318-20,22
29,21143-10,1
30,17335-18,3
31,13671-40,29
32,6372-7,1
33,6209-2,27
34,14068-29,26
35,25912-131,8
36,13738-8,16
37,6379-62,10
38,11265-8,1
39,20383-31,3
40,6621-10,4
41,4126-22,8
42,23369-17,24
43,2752-62,1
44,13741-36,41
45,22074-35,12
46,11616-9,3
47,9316-67,71
48,5084-154,34
49,13731-14,8
50,21348-22,29
51,21206-218,21
52,19799-2,12
53,6227-1,35
54,7965-25,8
55,14011-17,61
56,9207-60,17
57,15606-19,38
58,9959-60,12
59,2913-1,26
60,12681-63,15
61,23767-1,15
62,2436-49,33
63,14110-200,8
64,12549-33,2
65,11556-19,5
66,7810-20,70
67,19824-3,17
68,6334-9,5
69,4125-52,41
70,9837-60,5
71,8429-16,8
72,12808-103,2
73,5617-41,13
74,15522-2,5
75,8304-50,28
76,8957-72,45
77,10565-19,15
78,5708-1,26
79,6897-38,27
80,9370-69,47
81,2972-57,15
82,15426-5,4
83,18178-13,7
84,4141-79,43
85,14100-63,4
86,8923-94,14
87,8969-49,16
88,25452-16,17
89,9267-2,7
90,7127-3,8
91,8819-3,11
92,12446-49,14
93,10490-3,7
94,5691-2,19
95,6947-4,5
96,5339-49,2
97,3636-37,11
98,4467-49,19
99,15455-40,1
100,21916-82,6
101,22496-21,13
102,3284-75,28
103,2950-57,47
104,2960-66,12
105,21392-15,6
106,2891-1,9
107,23310-51,4
108,3305-6,23
109,20988-63,7
110,3339-33,12
111,13094-75,17
112,7818-101,1
113,2731-29,8
114,10391-1,15
115,12732-13,8
116,18342-2,11
117,15368-3,16
118,11814-29,13
119,25459-3,38
120,3583-54,14
121,14337-1,17
122,3046-31,4
123,17693-2,12
124,23309-11,9
125,4481-34,1
126,2768-56,8
127,12490-92,9
128,4436-1,2
129,2597-8,6
130,11212-7,6
131,15486-126,60
132,6077-63,28
133,21691-27,17
134,8427-118,11
135,2831-29,1
136,2211-9,20
137,7885-17,6
138,12329-21,3
139,18859-7,1
140,3041-55,8
141,12572-236,3
142,6423-66,4
143,13473-55,5
144,14136-234,1
145,15615-8,18
146,5741-55,16
147,17145-1,32
148,6383-90,3
149,12568-14,10
150,10382-1,29
151,22811-5,15
152,11134-30,1
153,21397-21,4
154,23306-37,2
155,13067-5,11
156,8967-6,13
157,18242-8,3
158,3366-51,9
159,5000-52,12
160,18873-8,8
161,23929-159,14
162,5430-66,13
163,3314-74,8
164,24951-3,10
165,6064-4,7
166,5412-53,6
167,9713-67,6
168,21766-50,7
169,3320-49,8
170,3323-37,11
171,25948-18,23
172,21940-12,12
173,24937-7,5
174,13516-46,4
175,10615-18,7
176,23284-5,7
177,19819-7,14
178,3299-29,2
179,22479-64,3
180,2514-65,3
181,5345-51,5
182,7856-51,5
183,5738-25,25
184,20931-156,9
185,8246-9,4
186,8893-29,14
187,2570-72,8
188,23327-1,7
189,7020-13,13
190,17724-3,11
191,19123-6,6
192,6260-14,12
193,8589-13,5
194,21308-44,1
195,23566-6,4
196,14042-11,18
197,24718-8,5
198,19273-3,7
199,4979-34,1
200,15636-49,1
201,3077-66,1
202,6408-2,8
203,24217-2,3
204,13652-2,1
205,3800-71,6
206,4184-43,1
207,9015-1,16
208,15431-31,3
209,15576-158,1
210,12826-5,1
211,3024-18,1
212,2670-67,5
213,5358-3,2
214,18943-4,3
215,17460-51,2
216,13704-5,7
217,8467-9,1
218,4152-58,2
219,23544-10,5
220,4991-12,20
221,22783-40,2
222,3309-2,2
223,9126-171,3
224,10365-132,5
225,21655-18,1
226,4158-54,2
227,5598-3,4
228,11422-2,1
229,20538-71,3
230,6586-19,6
231,6214-84,7
232,23305-38,6
233,2993-1,6
234,23210-4,3
235,13717-15,1
236,24493-10,6
237,15364-101,3
238,20584-4,11
239,12518-289,16
240,5635-66,3
241,25967-34,2
242,10620-21,2
243,13529-39,1
244,23200-25,6
245,6629-3,6
246,14254-27,1
247,3336-50,11
248,20975-2,4
249,19280-29,1
250,11430-49,1
251,17396-23,2
252,18265-18,2
253,21106-206,2
254,10907-116,1
255,12671-35,4
256,9237-54,2
257,8086-49,1
258,15324-58,2
259,5934-1,2
260,11208-15,2
261,13112-179,3
262,9769-48,1
263,7871-16,2
264,11152-46,1
265,21395-23,4
266,24957-6,2
267,3221-54,4
268,8760-10,5
269,21828-6,3
270,21317-25,3
271,4866-59,1
272,3485-28,3
273,3291-30,4
274,18900-37,1
275,18273-14,1
276,16300-4,2
277,14073-31,2
278,14041-13,3
279,21771-47,6
280,8275-31,1
281,11219-95,2
282,3173-49,1
283,21647-9,1
284,3714-49,8
285,8059-1,1
286,3184-25,2
287,14029-42,1
288,12538-19,6
289,14116-129,1
290,13618-15,1
291,18909-11,5
292,22506-25,5
293,10699-52,4
294,20437-9,2
295,4983-6,1
296,12585-39,3
297,13042-7,8
298,5852-6,2
