,SeqId,Count
354,7980-72,1
355,8021-59,1
356,10442-1,1
357,3343-1,2
358,14747-9,3
359,19180-38,3
360,23386-38,3
361,11510-51,4
362,11177-16,1
363,9235-3,2
364,21804-15,1
365,9207-60,4
366,6209-2,2
367,13735-1,2
368,12854-3,1
369,22152-162,4
370,2828-82,1
371,2837-3,2
372,13042-7,1
373,5854-60,1
374,21688-50,1
375,5542-22,1
376,5080-131,1
377,15452-5,5
378,5722-78,1
379,22831-11,1
380,23327-1,1
381,23336-2,1
382,6504-65,1
383,23601-43,1
384,10815-2,2
385,12650-43,2
386,4916-2,1
387,16902-17,2
388,19253-82,1
389,8837-8,2
390,18395-5,1
391,4126-22,1
392,14078-69,1
393,9337-43,2
394,19327-31,1
395,17456-53,2
396,18220-141,3
397,9370-69,3
398,7810-20,1
399,4906-35,1
400,17153-46,1
401,4549-78,1
402,23544-10,1
403,14136-234,2
404,2942-50,6
405,4125-52,3
406,20458-22,1
407,11200-52,2
408,3175-51,1
409,4459-68,1
410,20941-7,1
411,15698-6,1
412,2950-57,1
413,20969-114,6
414,3388-58,1
415,21348-22,1
416,4964-67,1
417,17782-23,1
418,4314-12,1
419,23566-6,1
420,13990-1,1
421,3587-53,2
422,8396-42,1
423,9237-54,2
424,20141-42,1
425,23547-21,1
426,21317-25,1
427,15395-15,3
428,4330-4,1
429,11203-97,1
430,5691-2,2
431,18166-4,1
432,9402-18,2
433,6364-7,1
434,10445-20,1
435,21813-171,1
436,8759-29,1
437,8086-49,1
438,14115-34,2
439,21764-99,1
440,15544-25,2
441,10365-132,1
442,12488-9,1
443,8250-2,1
444,7251-64,1
445,23661-61,2
446,3174-2,1
447,12568-14,1
448,20457-13,2
449,16081-38,1
450,11067-13,1
451,6388-21,2
452,4914-10,1
453,3074-6,1
454,13460-4,1
455,9595-11,1
456,4922-13,1
457,11313-100,1
458,13492-44,1
459,11187-11,2
460,21767-129,1
461,18483-36,1
462,8229-1,1
463,18907-97,1
464,7127-3,1
465,7717-95,1
466,13697-51,1
467,4697-59,1
468,9970-7,1
469,13473-55,1
470,15509-2,1
471,13693-5,1
472,12808-103,1
473,19273-3,1
474,10892-8,1
475,14254-27,1
476,23225-26,1
