,SeqId,Count
0,25459-3,79
1,25452-16,77
2,24457-12,79
3,15606-19,77
4,9207-60,43
5,5476-66,77
6,20103-176,80
7,19141-22,79
8,20087-3,79
9,5087-5,79
10,13990-1,62
11,23296-29,69
12,20411-52,20
13,7020-13,55
14,9456-34,77
15,15526-33,27
16,2950-57,60
17,22496-21,29
18,19273-3,14
19,7926-13,36
20,13022-20,9
21,21143-10,6
22,20398-60,34
23,4234-8,69
24,25948-18,27
25,10620-21,20
26,8220-15,5
27,23299-52,32
28,21348-22,56
29,15446-25,1
30,12568-14,13
31,4126-22,69
32,9377-25,2
33,9453-12,13
34,3198-4,10
35,11556-19,6
36,13447-42,47
37,11318-20,31
38,7779-86,17
39,8967-6,19
40,12446-49,29
41,6973-111,3
42,5636-10,63
43,19614-8,53
44,9370-69,59
45,2778-10,1
46,21957-12,8
47,13993-20,41
48,23327-1,42
49,22019-21,1
50,25964-12,58
51,10382-1,35
52,15455-40,14
53,13097-11,20
54,10743-13,13
55,23767-1,18
56,3516-60,18
57,12726-3,10
58,21864-20,18
59,2436-49,22
60,7147-35,9
61,13055-53,14
62,2993-1,5
63,6409-57,30
64,15324-58,40
65,21247-16,3
66,6897-38,24
67,9906-21,1
68,6257-56,12
69,8374-5,19
70,23611-16,1
71,5934-1,30
72,9094-5,20
73,3399-31,13
74,12518-289,2
75,12881-17,26
76,4184-43,37
77,21501-30,57
78,18395-5,9
79,13067-5,13
80,21232-39,29
81,15607-56,20
82,21764-99,21
83,10754-113,43
84,21828-6,35
85,16763-11,55
86,2913-1,27
87,12549-33,5
88,5412-53,11
89,6334-9,7
90,8468-19,14
91,21533-51,2
92,10365-132,12
93,14318-1,4
94,3636-37,36
95,23200-25,47
96,7810-20,46
97,2831-29,37
98,2771-35,4
99,22033-7,7
100,6391-52,6
101,2681-23,12
102,8969-49,11
103,5708-1,55
104,6227-1,7
105,3714-49,10
106,18265-18,4
107,17724-3,2
108,6629-3,35
109,18193-165,4
110,8091-16,17
111,13671-40,17
112,7849-3,12
113,15432-1,2
114,17516-7,6
115,20969-114,1
116,23588-9,17
117,15431-31,6
118,24307-22,2
119,4152-58,15
120,17145-1,23
121,3184-25,12
122,5741-55,3
123,21691-27,19
124,5691-2,15
125,4127-75,2
126,18242-8,7
127,4988-49,2
128,4342-10,1
129,12681-63,3
130,11203-97,13
131,8589-13,13
132,15698-6,7
133,3291-30,5
134,4467-49,9
135,13738-8,1
136,20423-40,4
137,13529-39,3
138,13699-6,2
139,11142-11,1
140,11177-16,37
141,25057-2,12
142,15368-3,2
143,13486-9,7
144,25087-11,1
145,3415-61,11
146,22486-58,12
147,3616-3,1
148,22534-14,3
149,17742-2,6
150,2906-55,5
151,12457-10,3
152,10391-1,9
153,14759-149,2
154,3538-26,2
155,20953-34,1
156,7127-3,3
157,23394-125,2
