,SeqId,Count
354,5358-3,3
355,9384-17,2
356,20527-47,3
357,14245-195,1
358,20219-25,1
359,6963-82,2
360,25041-11,1
361,11538-216,1
362,7182-1,2
363,22395-7,1
364,5178-5,1
365,7083-74,3
366,2381-52,2
367,16607-78,4
368,5635-66,4
369,8240-207,2
370,11851-21,1
371,11098-1,1
372,17682-1,1
373,4437-56,1
374,5736-1,1
375,11440-58,4
376,3041-55,3
377,11377-19,2
378,9267-2,1
379,2778-10,2
380,2449-1,3
381,8462-18,2
382,25087-11,2
383,20550-38,2
384,17742-2,1
385,9449-150,4
386,2763-66,4
387,20549-1,1
388,7186-111,2
389,24690-1,1
390,15644-1,1
391,11380-84,1
392,5934-1,1
393,7206-20,1
394,12585-39,1
395,23929-159,1
396,15698-6,2
397,18899-82,2
398,23358-42,4
399,25967-34,1
400,3814-63,2
401,8039-41,1
402,21317-25,1
403,3216-2,1
404,6168-11,1
405,2974-61,2
406,5138-50,1
407,9759-13,1
408,6574-11,1
409,3414-40,3
410,17685-9,1
411,4929-55,2
412,21537-33,2
413,13540-1,1
414,9768-5,1
415,4988-49,3
416,15384-15,1
417,7871-16,1
418,11356-19,1
419,21667-57,1
420,15455-40,2
421,13690-26,1
422,12518-289,1
423,12987-12,1
424,19296-51,1
425,24941-14,1
426,17724-3,1
427,19824-3,1
428,9793-145,1
429,4909-68,1
430,14116-129,1
431,2658-27,1
432,11142-11,1
433,20055-40,1
434,3003-29,2
435,24674-22,1
436,12726-3,1
437,7959-34,1
438,20221-26,1
439,9790-28,1
440,3235-50,1
441,19635-69,1
442,8760-10,1
443,21392-15,1
444,18832-65,1
445,15347-12,1
446,18347-15,1
