,SeqId,Count
354,19590-46,2
355,11377-19,1
356,3283-21,1
357,13078-3,1
358,2692-74,2
359,4983-6,1
360,11212-7,1
361,15468-14,1
362,4886-3,1
363,6227-1,1
364,14254-27,1
365,4905-63,1
366,4918-21,2
367,12681-63,5
368,3305-6,2
369,8429-16,1
370,17196-5,1
371,21238-40,1
372,2514-65,4
373,9765-4,1
374,12653-13,2
375,8264-43,6
376,3041-55,2
377,21317-25,3
378,23767-1,3
379,21533-51,1
380,2827-23,2
381,22047-46,1
382,24493-10,1
383,19190-4,1
384,24962-7,2
385,24027-32,2
386,10743-13,1
387,5029-3,2
388,4568-17,2
389,3314-74,1
390,20521-83,1
391,13992-12,1
392,18921-30,1
393,21707-15,1
394,21384-2,1
395,16908-5,1
396,5355-69,1
397,5036-50,2
398,17145-1,1
399,15584-9,1
400,5852-6,1
401,5000-52,1
402,25126-19,1
403,6570-1,1
404,14685-17,1
405,11814-29,3
406,5400-52,3
407,5657-28,2
408,20941-7,1
409,2381-52,1
410,4564-2,1
411,11098-1,2
412,6077-63,2
413,21247-16,2
414,3174-2,1
415,8229-1,1
416,8957-72,2
417,23162-36,1
418,3232-28,1
419,4842-62,1
420,23321-42,1
421,7182-1,2
422,15446-25,2
423,9002-36,1
424,23283-9,2
425,4929-55,1
426,18899-82,1
427,11277-23,1
428,2602-2,1
429,18909-11,1
430,3504-58,1
431,25438-288,1
432,3216-2,3
433,17510-7,1
434,22811-5,1
435,18265-18,2
436,11836-144,1
437,21441-20,1
438,7871-16,2
439,23413-38,1
440,11647-6,1
441,21891-31,1
442,19141-22,1
443,25117-17,1
444,14593-152,1
445,4271-75,1
446,21220-11,1
447,10551-7,1
448,22088-3,1
449,8470-213,1
450,22506-25,1
451,20221-26,1
452,3179-51,1
453,9277-16,1
454,19622-7,1
455,23771-17,1
456,23327-1,1
457,25240-1,1
458,12454-105,1
459,4549-78,1
460,3045-72,1
461,13540-1,1
462,12888-18,1
463,21796-43,1
464,5637-81,1
465,23007-8,1
466,8003-57,1
467,24907-3,1
468,14337-1,1
469,6334-9,1
470,13676-46,1
471,8597-1,1
472,6409-57,1
