,SeqId,Count
354,21647-9,1
355,4141-79,1
356,9185-15,1
357,6471-53,1
358,13256-21,1
359,21143-10,2
360,3326-58,1
361,20584-4,1
362,2358-19,1
363,19751-21,1
364,6423-66,1
365,12014-19,1
366,3322-52,1
367,13697-51,1
368,3343-1,1
369,5680-54,1
370,23386-38,1
371,13992-12,1
372,4918-21,1
373,20237-38,1
374,9449-150,1
