,SeqId,Count
354,4563-61,1
355,23369-17,1
356,20527-47,1
357,3758-63,1
358,15506-34,1
359,17161-1,1
360,18172-71,1
361,2993-1,1
362,20549-1,1
363,22496-21,1
364,25255-4,1
365,5353-89,1
366,21172-11,1
367,8229-1,1
368,21957-12,1
369,7251-64,1
370,6209-2,1
371,3505-6,2
372,18347-15,1
373,3221-54,1
374,24686-19,1
375,20939-113,2
376,2816-50,1
377,21624-64,1
378,6383-90,1
379,5008-51,1
380,14708-59,1
381,10445-20,1
382,12014-19,1
383,5657-28,2
384,19558-10,1
385,19819-7,1
386,7823-22,1
387,24286-48,2
388,5345-51,1
389,12041-33,1
390,14318-1,1
391,15530-33,1
392,13631-1,1
