,SeqId,Count
354,21771-47,1
355,15326-64,3
356,13490-1,1
357,8232-90,1
358,23519-91,3
359,16614-27,1
360,2597-8,2
361,13671-40,1
362,5728-60,1
363,8043-153,1
364,20568-3,1
365,21106-206,1
366,7962-11,1
367,15455-40,1
368,3041-55,1
369,18273-14,1
370,10907-116,1
371,13699-6,1
372,6315-58,1
373,3339-33,1
374,13565-2,1
375,9581-4,2
376,19272-9,1
377,13078-3,1
378,4712-28,1
379,17145-1,2
380,23162-36,1
381,10980-11,1
382,3040-59,1
383,7980-72,1
384,13507-51,1
385,21766-50,1
386,9453-12,1
387,12585-39,2
388,19296-51,1
389,9207-60,2
390,15617-8,1
391,5036-50,1
392,3336-50,1
393,24441-7,1
394,18175-65,1
395,25057-2,1
396,16763-11,2
397,3213-65,1
398,6367-66,1
399,3232-28,1
400,8780-2,1
401,13697-51,1
402,12461-8,1
403,13113-7,1
